what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1387529999610
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1387529999616
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1387529999619
os,sysinfo,,,"win32",1387529999632
arch,sysinfo,,,"x86",1387529999632
ws,sysinfo,,,"win32",1387529999632
locale,sysinfo,,,"fr_FR",1387529999632
processors,sysinfo,,,"2",1387529999633
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1387529999633
java.runtime.version,sysinfo,,,"1.7.0_40-b43",1387529999633
java.specification.name,sysinfo,,,"Java Platform API Specification",1387529999633
java.specification.vendor,sysinfo,,,"Oracle Corporation",1387529999633
java.specification.version,sysinfo,,,"1.7",1387529999633
java.vendor,sysinfo,,,"Oracle Corporation",1387529999633
java.version,sysinfo,,,"1.7.0_40",1387529999633
java.vm.info,sysinfo,,,"mixed mode, sharing",1387529999633
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1387529999633
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1387529999633
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1387529999633
java.vm.specification.version,sysinfo,,,"1.7",1387529999633
java.vm.vendor,sysinfo,,,"Oracle Corporation",1387529999633
java.vm.version,sysinfo,,,"24.0-b56",1387529999633
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1387529999682
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1387529999851
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1387530000303
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1387530000360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387530003894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387530058733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1387530058779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387530064140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387530148532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387530176238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387530182159
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387530185269
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1387530185371
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1387530185476
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387530185516
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1387530185701
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387530201297
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387530201810
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1387530203086
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1387530203882
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1387530203887
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1387530203891
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1387530203896
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1387530203901
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1387530203905
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1387530203909
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1387530203909
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1387530203913
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1387530203917
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1387530203921
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1387530203921
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1387530203925
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1387530203933
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1387530203938
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1387530203942
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1387530203945
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1387530203951
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1387530203957
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1387530203962
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1387530203967
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1387530203973
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1387530203976
